"keyword","broaderLabel","relatedLabel"
"criminaliteit","sociale vraagstukken","huurmoordenaars"
"criminaliteit","sociale vraagstukken","vechtpartijen"
"criminaliteit","sociale vraagstukken","vervalsingen"
"criminaliteit","sociale vraagstukken","mensenhandel"
"criminaliteit","sociale vraagstukken","gedoogbeleid"
"criminaliteit","sociale vraagstukken","bedrijfsspionage"
"criminaliteit","sociale vraagstukken","criminologie"
"criminaliteit","sociale vraagstukken","overtredingen"
"criminaliteit","sociale vraagstukken","veiligheidsbeleid"
"criminaliteit","sociale vraagstukken","schietpartijen"
"criminaliteit","sociale vraagstukken","bedrog"
"criminaliteit","sociale vraagstukken","kroongetuigen"
"criminaliteit","sociale vraagstukken","vandalisme"
"criminaliteit","sociale vraagstukken","motorclubs"
"criminaliteit","sociale vraagstukken","strafrecht"
"criminaliteit","sociale vraagstukken","misdaadprogramma's"
"criminaliteit","sociale vraagstukken","misdaadpreventie"
"criminaliteit","sociale vraagstukken","zeerovers"
"criminaliteit","sociale vraagstukken","smokkelen"
"criminaliteit","sociale vraagstukken","valsemunterij"
"criminaliteit","sociale vraagstukken","recherche"
"criminaliteit","sociale vraagstukken","uitleveringen"
"criminaliteit","sociale vraagstukken","terrorisme"
"criminaliteit","sociale vraagstukken","illegale handel"
"criminaliteit","sociale vraagstukken","geweld"
"criminaliteit","sociale vraagstukken","mishandeling"
"criminaliteit","sociale vraagstukken","oplichting"
"fraude","criminaliteit","declaraties"
"fraude","criminaliteit","schijnhuwelijken"
"fraude","criminaliteit","kartelvorming"
"fraude","criminaliteit","wedstrijdvervalsing"
"fraude","criminaliteit","kliklijnen"
"fraude","criminaliteit","oplichting"
"fraude","criminaliteit","belangenverstrengeling"
"fraude","criminaliteit","plagiaat"
"fraude","criminaliteit","belastingen"
"fraude","criminaliteit","zwartwerk"
"fraude","criminaliteit","corruptie"
"fraude","criminaliteit","prijsafspraken"
"fraude","criminaliteit","vervalsingen"
"fraude","criminaliteit","klokkenluiders"
"fraude","criminaliteit","bedrog"
"mixed martial arts","vecht- en verdedigingssporten","kickboksen"
"mixed martial arts","vecht- en verdedigingssporten","worstelen"
"mixed martial arts","vecht- en verdedigingssporten","judo"
"mixed martial arts","vecht- en verdedigingssporten","karate"
"mixed martial arts","vecht- en verdedigingssporten","boksen"
"schaatsen (voorwerpen)","sportartikelen","schaatsen"
"jeu de boules","balsporten",
"kickboksen","vecht- en verdedigingssporten","boksen"
"kickboksen","vecht- en verdedigingssporten","mixed martial arts"
"tennis","balsporten","tafeltennis"
"skeeleren","schaatsen","rolschaatsen"
"shorttrack","schaatsen",
